group_first_parent	group_second_parent	clade_first_parent	clade_second_parent	origin	donor
SAR	SAR	NA	NA	vertical	NA
SAR	eukaryotes	NA	NA	vertical	NA
eukaryotes	SAR	NA	NA	vertical	NA
eukaryotes	eukaryotes	NA	0	lateral	clade_second_parent
eukaryotes	eukaryotes	NA	2759	vertical	NA
SAR	prokaryotes	NA	NA	vertical	NA
eukaryotes	prokaryotes	NA	NA	lateral	ND
prokaryotes	SAR	NA	NA	vertical	NA
prokaryotes	eukaryotes	NA	NA	lateral	clade_first_parent
prokaryotes	prokaryotes	NA	NA	lateral	clade_second_parent
mix	SAR	NA	NA	vertical	NA
mix	eukaryotes	NA	0	lateral	clade_second_parent
mix	eukaryotes	NA	2759	vertical	NA
mix	prokaryotes	NA	NA	lateral	clade_second_parent
SAR	mix	NA	NA	vertical	NA
eukaryotes	mix	0	NA	lateral	clade_first_parent
eukaryotes	mix	2759	NA	vertical	NA
prokaryotes	mix	NA	NA	lateral	clade_first_parent
mix	mix	NA	NA	lateral	ND
