protein_og	scaffold	start	end	strand	gene	product
BigNatCCMP2755000001_OG1389697	scaffold_1	1	303	+	aug1.1_g1	125293
BigNatCCMP2755000002_OG0016120	scaffold_1	1898	3660	-	fgenesh1_pg.1_#_1	65966
BigNatCCMP2755000003_OG0000415	scaffold_1	5199	7387	-	aug1.1_g3	125295
BigNatCCMP2755000004_OG0082122	scaffold_1	8520	19812	+	aug1.1_g4	125296
BigNatCCMP2755000005_OG0006113	scaffold_1	20350	23154	-	estExt_fgenesh1_pg.C_10004	84763
BigNatCCMP2755000006_OG0105758	scaffold_1	26124	28189	+	estExt_fgenesh1_pg.C_10005	84764
BigNatCCMP2755000007_OG0208424	scaffold_1	29719	31181	+	fgenesh1_pg.1_#_6	65971
BigNatCCMP2755000008_OG1389698	scaffold_1	31958	32299	-	aug1.1_g8	125300
BigNatCCMP2755000009_OG0000799	scaffold_1	33261	35147	+	estExt_Genewise1Plus.C_10002	51407
BigNatCCMP2755000010_OG0096522	scaffold_1	36169	37773	-	fgenesh1_pg.1_#_8	65973
BigNatCCMP2755000011_OG0001142	scaffold_1	39672	40673	+	aug1.1_g11	125303
BigNatCCMP2755000012_OG0001142	scaffold_1	42839	45082	+	aug1.1_g12	125304
BigNatCCMP2755000013_OG0060879	scaffold_1	47097	47946	-	fgenesh1_kg.1_#_5_#_7524_1_CFAO_EXTA	58666
BigNatCCMP2755000014_OG0064039	scaffold_1	50805	51403	-	fgenesh1_kg.1_#_11_#_8084_0_CFAO17520.b1_CFAO_EXTA	58672
BigNatCCMP2755000015_OG0132138	scaffold_1	51440	52727	-	fgenesh1_kg.1_#_12_#_5501_1_CFAO_EXTA	58673
BigNatCCMP2755000016_OG1389699	scaffold_1	53258	54026	-	aug1.1_g14	125306
BigNatCCMP2755000017_OG0175452	scaffold_1	54521	55876	+	estExt_fgenesh1_pg.C_10012	84767
BigNatCCMP2755000018_OG0000254	scaffold_1	56781	63332	-	fgenesh1_pg.1_#_13	65978
BigNatCCMP2755000019_OG0642030	scaffold_1	63705	65980	+	estExt_fgenesh1_pg.C_10014	84768
BigNatCCMP2755000020_OG0641961	scaffold_1	69792	73028	+	estExt_fgenesh1_pg.C_10015	84769
BigNatCCMP2755000021_OG0064017	scaffold_1	74774	75888	-	fgenesh1_pg.1_#_16	65981
BigNatCCMP2755000022_OG0007111	scaffold_1	76131	77312	+	aug1.1_g19	125311
BigNatCCMP2755000023_OG1389700	scaffold_1	81747	82919	+	fgenesh1_kg.1_#_15_#_1155_0_CFAO9257.b1_CFAO_EXTA	58676
BigNatCCMP2755000024_OG0105706	scaffold_1	83846	85303	-	aug1.1_g22	125314
BigNatCCMP2755000025_OG0175492	scaffold_1	88932	97587	+	fgenesh1_pg.1_#_19	65984
BigNatCCMP2755000026_OG0000000	scaffold_1	99789	101691	+	aug1.1_g25	125317
BigNatCCMP2755000027_OG0439147	scaffold_1	103475	110960	+	fgenesh1_pg.1_#_21	65986
BigNatCCMP2755000028_OG0006981	scaffold_1	111969	115887	-	aug1.1_g28	125320
BigNatCCMP2755000029_OG0001534	scaffold_1	118471	128844	+	fgenesh1_pg.1_#_23	65988
BigNatCCMP2755000030_OG0007292	scaffold_1	129598	130493	-	aug1.1_g30	125322
BigNatCCMP2755000031_OG0007292	scaffold_1	134281	139546	-	aug1.1_g32	125324
BigNatCCMP2755000032_OG0175410	scaffold_1	140066	141119	+	aug1.1_g33	125325
BigNatCCMP2755000033_OG0002321	scaffold_1	141981	143740	-	estExt_fgenesh1_pg.C_10026	84771
BigNatCCMP2755000034_OG0001488	scaffold_1	144226	144801	+	aug1.1_g35	125327
BigNatCCMP2755000035_OG0000289	scaffold_1	145617	150222	-	aug1.1_g36	125328
