protein_og	scaffold	start	end	strand	gene	product
PlaBraE3000001_OG0001142	CDSF01000001.1	657	1006	+	PBRA_000001	CEO94216.1
PlaBraE3000002_OG0000383	CDSF01000001.1	1410	2478	-	PBRA_000002	CEO94217.1
PlaBraE3000003_OG0047241	CDSF01000001.1	4388	5130	-	PBRA_000003	CEO94218.1
PlaBraE3000004_OG0553834	CDSF01000001.1	9299	10284	+	PBRA_000004	CEO94219.1
PlaBraE3000005_OG0000383	CDSF01000001.1	10304	11626	-	PBRA_000005	CEO94220.1
PlaBraE3000006_OG0002071	CDSF01000001.1	12508	13239	-	PBRA_000006	CEO94221.1
PlaBraE3000007_OG0142512	CDSF01000001.1	14412	15605	-	PBRA_000007	CEO94222.1
PlaBraE3000008_OG0553835	CDSF01000001.1	16222	17445	-	PBRA_000008	CEO94223.1
PlaBraE3000009_OG0000049	CDSF01000001.1	17974	20476	-	PBRA_000009	CEO94224.1
PlaBraE3000010_OG0000575	CDSF01000001.1	20801	21142	+	PBRA_000010	CEO94225.1
PlaBraE3000011_OG0024972	CDSF01000001.1	21275	21994	+	PBRA_000011	CEO94226.1
PlaBraE3000012_OG3374354	CDSF01000001.1	22199	24150	+	PBRA_000012	CEO94227.1
PlaBraE3000013_OG0002569	CDSF01000001.1	24518	27031	+	PBRA_000013	CEO94228.1
PlaBraE3000014_OG0082962	CDSF01000001.1	28149	29611	+	PBRA_000014	CEO94229.1
PlaBraE3000015_OG0000715	CDSF01000001.1	29779	31394	-	PBRA_000015	CEO94230.1
PlaBraE3000016_OG3374355	CDSF01000001.1	33296	33987	+	PBRA_000016	CEO94231.1
PlaBraE3000017_OG0000819	CDSF01000001.1	34263	35005	-	PBRA_000017	CEO94232.1
PlaBraE3000018_OG0010544	CDSF01000001.1	35195	35947	+	PBRA_000018	CEO94233.1
PlaBraE3000019_OG0002633	CDSF01000001.1	36280	37470	+	PBRA_000019	CEO94234.1
PlaBraE3000020_OG0553836	CDSF01000001.1	37465	38348	-	PBRA_000020	CEO94235.1
PlaBraE3000021_OG0000014	CDSF01000001.1	38410	38967	-	PBRA_000021	CEO94236.1
PlaBraE3000022_OG0003176	CDSF01000001.1	39151	39544	-	PBRA_000022	CEO94237.1
PlaBraE3000023_OG0000451	CDSF01000001.1	39715	41224	+	PBRA_000023	CEO94238.1
PlaBraE3000024_OG3374356	CDSF01000001.1	41397	44160	+	PBRA_000024	CEO94239.1
PlaBraE3000025_OG3374357	CDSF01000001.1	44378	44875	+	PBRA_000025	CEO94240.1
PlaBraE3000026_OG1035179	CDSF01000001.1	45166	48712	+	PBRA_000026	CEO94241.1
PlaBraE3000027_OG1035179	CDSF01000001.1	49707	53231	+	PBRA_000027	CEO94242.1
PlaBraE3000028_OG0000446	CDSF01000001.1	53249	55071	-	PBRA_000028	CEO94243.1
PlaBraE3000029_OG0003356	CDSF01000001.1	55155	55837	-	PBRA_000029	CEO94244.1
PlaBraE3000030_OG0009406	CDSF01000001.1	57601	58512	+	PBRA_000030	CEO94245.1
PlaBraE3000031_OG3374358	CDSF01000001.1	59640	59897	-	PBRA_000031	CEO94246.1
PlaBraE3000032_OG0009406	CDSF01000001.1	60418	61308	+	PBRA_000032	CEO94247.1
PlaBraE3000033_OG3374359	CDSF01000001.1	61937	63165	-	PBRA_000033	CEO94248.1
PlaBraE3000034_OG0001498	CDSF01000001.1	63932	64634	-	PBRA_000034	CEO94249.1
PlaBraE3000035_OG1035180	CDSF01000001.1	65016	65405	-	PBRA_000035	CEO94250.1
PlaBraE3000036_OG0111722	CDSF01000001.1	66399	67448	+	PBRA_000036	CEO94251.1
PlaBraE3000037_OG0002945	CDSF01000001.1	68263	69394	+	PBRA_000037	CEO94252.1
PlaBraE3000038_OG0000044	CDSF01000001.1	69577	72828	+	PBRA_000038	CEO94253.1
PlaBraE3000039_OG3374360	CDSF01000001.1	69628	70246	-	PBRA_000039	CEO94254.1
PlaBraE3000040_OG3374361	CDSF01000001.1	73065	73607	+	PBRA_000040	CEO94255.1
PlaBraE3000041_OG0000062	CDSF01000001.1	74072	74929	+	PBRA_000041	CEO94256.1
PlaBraE3000042_OG1035181	CDSF01000001.1	75055	76167	-	PBRA_000042	CEO94257.1
PlaBraE3000043_OG1035181	CDSF01000001.1	76861	77928	-	PBRA_000043	CEO94258.1
PlaBraE3000044_OG3374362	CDSF01000001.1	81951	83206	+	PBRA_000045	CEO94259.1
PlaBraE3000045_OG3374363	CDSF01000001.1	83532	84500	+	PBRA_000044	CEO94260.1
PlaBraE3000046_OG1035182	CDSF01000001.1	87092	90231	+	PBRA_000046	CEO94261.1
PlaBraE3000047_OG0009474	CDSF01000001.1	90349	90579	-	PBRA_000047	CEO94262.1
PlaBraE3000048_OG0002901	CDSF01000001.1	91070	92227	+	PBRA_000048	CEO94263.1
PlaBraE3000049_OG0006744	CDSF01000001.1	92239	92861	-	PBRA_000049	CEO94264.1
PlaBraE3000050_OG0193489	CDSF01000001.1	92976	102797	-	PBRA_000050	CEO94265.1
PlaBraE3000051_OG0036878	CDSF01000001.1	103469	104080	+	PBRA_000051	CEO94266.1
PlaBraE3000052_OG0000363	CDSF01000001.1	104414	106069	-	PBRA_000052	CEO94267.1
PlaBraE3000053_OG0003431	CDSF01000001.1	106247	107381	-	PBRA_000053	CEO94268.1
PlaBraE3000054_OG3374364	CDSF01000001.1	107718	109385	+	PBRA_000054	CEO94269.1
PlaBraE3000055_OG0001116	CDSF01000001.1	109600	112240	+	PBRA_000055	CEO94270.1
PlaBraE3000056_OG0001231	CDSF01000001.1	112459	113865	-	PBRA_000056	CEO94271.1
PlaBraE3000057_OG3374365	CDSF01000001.1	114444	114907	+	PBRA_000057	CEO94272.1
PlaBraE3000058_OG1035183	CDSF01000001.1	115654	116689	-	PBRA_000058	CEO94273.1
PlaBraE3000059_OG0389546	CDSF01000001.1	116957	117742	-	PBRA_000059	CEO94274.1
PlaBraE3000060_OG3374366	CDSF01000001.1	118018	118809	+	PBRA_000060	CEO94275.1
PlaBraE3000061_OG0389546	CDSF01000001.1	119170	120318	-	PBRA_000061	CEO94276.1
PlaBraE3000062_OG0000767	CDSF01000001.1	120579	121512	+	PBRA_000062	CEO94277.1
PlaBraE3000063_OG0036723	CDSF01000001.1	121687	122660	+	PBRA_000063	CEO94278.1
